image_name,gt_type,iou,pixel_precision,pixel_recall
broken_large_000,broken_large,0.06023720349563046,0.8518881804806278,0.06087474591715147
broken_large_001,broken_large,0.05234368761478879,0.8371647509578544,0.05288209430841838
broken_large_002,broken_large,0.03831885189885775,0.8746518105849582,0.03853044395906447
broken_large_003,broken_large,0.05126470425802176,0.8644935972060536,0.05167998218411603
broken_large_004,broken_large,0.1908786921790823,0.9846669861044561,0.19144773616545557
broken_large_005,broken_large,0.05917818384194416,0.9437869822485208,0.0593875081448385
broken_large_006,broken_large,0.055042897047086994,0.9830734966592427,0.05509511208747316
broken_large_007,broken_large,0.015287345475134472,0.9938650306748467,0.015288788221970554
broken_large_008,broken_large,0.04988019402723394,0.9743150684931506,0.04994587002955204
broken_large_009,broken_large,0.028693157116772453,0.9269662921348315,0.02875816993464052
broken_large_010,broken_large,0.026899383983572896,0.9055299539170507,0.026975084082641224
broken_large_011,broken_large,0.02642389815894913,0.8090062111801242,0.026589772379299787
broken_large_012,broken_large,0.06830505509882806,0.9443772672309553,0.06858096241657885
broken_large_013,broken_large,0.011320648975817525,0.5534246575342465,0.011425016260852352
broken_large_014,broken_large,0.15259163571774584,0.9900471451021478,0.15282606937818388
broken_large_015,broken_large,0.06446113253501116,0.9179190751445087,0.06483485077369044
broken_large_016,broken_large,0.04746835443037975,0.9591194968553459,0.047564589073140304
broken_large_017,broken_large,0.07283907143050627,1.0,0.07283907143050627
broken_large_018,broken_large,0.05625289217954651,0.8922018348623854,0.056637838152645524
broken_large_019,broken_large,0.05231716147719044,0.966016713091922,0.05241362633376659
broken_small_000,broken_small,0.07243614182234083,0.3877551020408163,0.08179078777442962
broken_small_001,broken_small,0.3049089068825911,0.9428794992175273,0.3106470739881413
broken_small_002,broken_small,0.1740406793877123,0.9898628503279666,0.17435143367293351
broken_small_003,broken_small,0.08077483661667215,0.9206859592711683,0.08134084560390133
broken_small_004,broken_small,0.33226761397276494,0.9824929971988795,0.33424657534246577
broken_small_005,broken_small,0.03484848484848485,1.0,0.03484848484848485
broken_small_006,broken_small,0.08951691493804817,0.8296774193548387,0.09119273861863565
broken_small_007,broken_small,0.0845423607379545,0.855072463768116,0.08577139741958932
broken_small_008,broken_small,0.037754595131644315,0.34545454545454546,0.04066345639379347
broken_small_009,broken_small,0.11276629825404454,0.8956743002544529,0.11426716442136017
broken_small_010,broken_small,0.1316708229426434,0.9974811083123426,0.13171461832695824
broken_small_011,broken_small,0.17682688550214928,0.923469387755102,0.17945667261550663
broken_small_012,broken_small,0.07721124841879926,0.9412811387900356,0.07758494255683207
broken_small_013,broken_small,0.0880547686496695,1.0,0.0880547686496695
broken_small_014,broken_small,0.1600250365115794,0.8991793669402111,0.16294879966008072
broken_small_015,broken_small,0.014922048997772828,0.3471502590673575,0.01535288725939505
broken_small_016,broken_small,0.1971312982714233,0.9370629370629371,0.19977636973537086
broken_small_017,broken_small,0.29512893982808025,0.9868885526979324,0.2962906888720666
broken_small_018,broken_small,0.19568844690649403,0.9969398163889833,0.19580606384399626
broken_small_019,broken_small,0.21627091203453858,0.9462809917355371,0.2189591585848928
broken_small_020,broken_small,0.20154280747501085,0.982521186440678,0.20226801875477046
broken_small_021,broken_small,0.16281427412814273,0.9073446327683616,0.16556701030927834
contamination_000,contamination,0.030890841957460086,0.7252747252747253,0.0312565775626184
contamination_001,contamination,0.0,0.0,0.0
contamination_002,contamination,0.0,0.0,0.0
contamination_003,contamination,0.0,0.0,0.0
contamination_004,contamination,0.0,0.0,0.0
contamination_005,contamination,0.1608245522410986,0.9417161359956827,0.16244143109814752
contamination_006,contamination,0.33192041091108565,1.0,0.33192041091108565
contamination_007,contamination,0.14958750937478693,0.958916083916084,0.15055239140876964
contamination_008,contamination,0.006278787323265886,0.4781849912739965,0.006322104291647439
contamination_009,contamination,0.0018698784579002366,0.22742474916387959,0.0018818320188183201
contamination_010,contamination,0.0041046859094342105,0.30637254901960786,0.004143188597944978
contamination_011,contamination,0.00043361816094885855,0.12686567164179105,0.00043491608677855096
contamination_012,contamination,0.003915834345336935,0.18922155688622755,0.003982657793910062
contamination_013,contamination,0.009847806624888093,0.9924812030075187,0.009848541371334776
contamination_014,contamination,0.0,0.0,0.0
contamination_015,contamination,0.0,0.0,0.0
contamination_016,contamination,0.0,0.0,0.0
contamination_017,contamination,0.004018631838524066,0.7652173913043478,0.004023592885556216
contamination_018,contamination,0.6400476758045291,0.8619582664526485,0.7131474103585658
contamination_019,contamination,0.0,0.0,0.0
contamination_020,contamination,0.0,0.0,0.0
